iter	Passed	Remaining
400	28832	43069
401	28908	43003
402	28979	42929
403	29055	42863
404	29136	42805
405	29210	42736
406	29293	42680
407	29363	42605
408	29442	42544
409	29519	42479
410	29596	42413
411	29654	42322
412	29728	42252
413	29806	42190
414	29877	42116
415	29958	42057
416	30022	41973
417	30107	41919
418	30176	41844
419	30251	41776
420	30321	41701
421	30392	41627
422	30479	41576
423	30555	41508
424	30619	41426
425	30684	41344
426	30765	41284
427	30840	41217
428	30914	41146
429	30982	41069
430	31050	40992
431	31121	40918
432	31217	40877
433	31278	40792
434	31354	40724
435	31442	40673
436	31507	40591
437	31573	40512
438	31649	40445
439	31720	40370
440	31777	40279
441	31843	40200
442	31920	40134
443	31991	40060
444	32057	39982
445	32122	39901
446	32188	39821
447	32263	39752
448	32331	39676
449	32397	39596
450	32466	39521
451	32536	39447
452	32597	39361
453	32664	39284
454	32741	39218
455	32810	39142
456	32887	39076
457	32965	39011
458	33044	38948
459	33116	38875
460	33177	38790
461	33255	38726
462	33325	38651
463	33390	38571
464	33457	38494
465	33531	38424
466	33610	38360
467	33680	38286
468	33754	38217
469	33824	38143
470	33896	38070
471	33977	38009
472	34045	37931
473	34112	37854
474	34185	37784
475	34261	37716
476	34344	37656
477	34420	37588
478	34493	37518
479	34565	37445
480	34629	37365
481	34712	37305
482	34791	37240
483	34867	37172
484	34952	37114
485	35026	37044
486	35101	36975
487	35192	36922
488	35270	36857
489	35336	36779
490	35397	36694
491	35475	36628
492	35553	36563
493	35623	36488
494	35706	36427
495	35776	36353
496	35851	36283
497	35930	36218
498	36002	36147
499	36072	36072
500	36152	36008
501	36271	35982
502	36387	35953
503	36467	35888
504	36543	35819
505	36629	35760
506	36698	35685
507	36762	35604
508	36833	35530
509	36917	35469
510	36964	35372
511	37034	35298
512	37108	35227
513	37177	35152
514	37265	35094
515	37332	35017
516	37408	34948
517	37475	34870
518	37552	34802
519	37617	34723
520	37690	34651
521	37758	34575
522	37829	34502
523	37900	34428
524	37974	34358
525	38041	34280
526	38109	34204
527	38189	34139
528	38251	34057
529	38328	33989
530	38400	33916
531	38484	33854
532	38570	33794
533	38649	33727
534	38723	33656
535	38799	33587
536	38879	33521
537	38945	33444
538	39015	33369
539	39081	33291
540	39157	33222
541	39233	33153
542	39300	33076
543	39371	33002
544	39430	32918
545	39504	32847
546	39582	32780
547	39659	32711
548	39736	32642
549	39808	32570
550	39893	32508
551	39957	32429
552	40036	32362
553	40115	32295
554	40185	32220
555	40258	32148
556	40331	32077
557	40404	32005
558	40491	31944
559	40560	31868
560	40639	31801
561	40723	31738
562	40785	31657
563	40857	31584
564	40944	31523
565	41008	31444
566	41095	31383
567	41174	31315
568	41258	31252
569	41325	31175
570	41384	31092
571	41442	31009
572	41513	30935
573	41586	30863
574	41654	30788
575	41720	30710
576	41797	30641
577	41863	30564
578	41940	30495
579	42018	30427
580	42073	30341
581	42155	30276
582	42228	30204
583	42286	30121
584	42355	30046
585	42411	29963
586	42498	29901
587	42566	29825
588	42641	29755
589	42725	29690
590	42809	29626
591	42872	29547
592	42947	29476
593	43032	29412
594	43105	29340
595	43170	29263
596	43247	29194
597	43331	29129
598	43406	29058
599	43471	28981
600	43530	28899
601	43601	28826
602	43670	28751
603	43749	28683
604	43815	28607
605	43883	28531
606	43965	28465
607	44039	28393
608	44117	28325
609	44198	28258
610	44273	28187
611	44349	28116
612	44417	28041
613	44487	27967
614	44557	27893
615	44619	27815
616	44692	27742
617	44765	27670
618	44829	27592
619	44906	27523
620	44974	27448
621	45036	27369
622	45116	27301
623	45173	27220
624	45245	27147
625	45313	27072
626	45391	27003
