iter	Logloss
0	0.6433939037
1	0.6021443682
2	0.5630346144
3	0.5301163073
4	0.5008324617
5	0.4740522337
6	0.4544390255
7	0.435510825
8	0.4213230369
9	0.4095515516
10	0.3989517015
11	0.389098913
12	0.3805899386
13	0.3737814788
14	0.3663443701
15	0.3605205996
16	0.3553544732
17	0.3510810923
18	0.347623217
19	0.3442732902
20	0.340587575
21	0.3378660732
22	0.335206444
23	0.3326484671
24	0.3303257224
25	0.3282640639
26	0.3262206259
27	0.3245691957
28	0.3226673346
29	0.3214245375
30	0.3196022649
31	0.3181616081
32	0.3171829317
33	0.3161187356
34	0.3152619927
35	0.3142819276
36	0.3133173682
37	0.3121049498
38	0.3110377064
39	0.3101594841
40	0.3095971257
41	0.308758997
42	0.3079383839
43	0.3072288293
44	0.3065907806
45	0.3062081285
46	0.3057760634
47	0.3049099776
48	0.3045367542
49	0.3039019249
50	0.3031152287
51	0.3026534912
52	0.3021230767
53	0.3018314091
54	0.3015390714
55	0.3011064154
56	0.3007223658
57	0.3000974063
58	0.2997118956
59	0.2990928129
60	0.2986914621
61	0.2984210696
62	0.2981549179
63	0.2974807557
64	0.2964991759
65	0.2958342158
66	0.2954862718
67	0.2952369039
68	0.2950451579
69	0.2946182252
70	0.2943361669
71	0.294017269
72	0.2936589976
73	0.2934363506
74	0.292682306
75	0.2919382231
76	0.2916909312
77	0.2914793305
78	0.2912025019
79	0.2909956201
80	0.290771999
81	0.2899592073
82	0.2898372697
83	0.2896797533
84	0.2894623163
85	0.2893095042
86	0.2889831623
87	0.2886822787
88	0.2884793541
89	0.2880252991
90	0.2878731112
91	0.2877279478
92	0.2876192227
93	0.2875383526
94	0.2875205318
95	0.2872912249
96	0.2871111915
97	0.2866981707
98	0.2863030483
99	0.2861371011
100	0.2860320498
101	0.285952675
102	0.2857893035
103	0.2856568828
104	0.2854501383
105	0.2853033145
106	0.2849877197
107	0.2847711158
108	0.2846300848
109	0.2845155606
110	0.2844222911
111	0.2842841615
112	0.2840707946
113	0.2838996088
114	0.2837574796
115	0.2834502953
116	0.283303498
117	0.2829246565
118	0.2827579326
119	0.2826135189
120	0.2824795222
121	0.2823397722
122	0.2821563918
123	0.2818918575
124	0.281778225
125	0.2816233161
126	0.2814985009
127	0.2814016769
128	0.281305163
129	0.2812124961
130	0.2810501726
131	0.2809376884
132	0.2808317939
133	0.2807569034
134	0.2806986506
135	0.2806277735
136	0.28054479
137	0.2804657988
138	0.2803306084
139	0.2802353205
140	0.2801613975
141	0.2800830163
142	0.2799758718
143	0.2796960489
144	0.2796219672
145	0.2795479597
146	0.2794488168
147	0.2793900259
148	0.2792852279
149	0.2791783637
150	0.279116519
151	0.279063977
152	0.2789485785
153	0.2788859414
154	0.2788103884
155	0.2787093995
156	0.2784046179
157	0.278316703
158	0.2780921494
159	0.2780572447
160	0.2779520756
161	0.2778807875
162	0.277805112
163	0.2777160977
164	0.2776280306
165	0.2775388028
166	0.2774888903
167	0.2773898696
168	0.2772650294
169	0.2770416792
170	0.2769816581
171	0.2768635385
172	0.2768221781
173	0.2767808322
174	0.2766923934
175	0.2766728094
176	0.2766352877
177	0.2762103897
178	0.2761411225
179	0.2759597676
180	0.2758663925
181	0.2757195351
182	0.2756760074
183	0.2756092023
184	0.2754712654
185	0.2753559868
186	0.2753129261
187	0.2752181505
188	0.2751058415
189	0.2750786329
190	0.2747628935
191	0.2746733125
192	0.2745905138
193	0.274436189
194	0.2743365589
195	0.2741800445
196	0.2741113036
197	0.2740528323
198	0.2739611377
199	0.2737869541
200	0.2736839649
201	0.2736413093
202	0.2734027344
203	0.2733746913
204	0.2733192522
205	0.273297
206	0.2731923603
207	0.2730223765
208	0.2729156486
209	0.2727727162
210	0.2726490329
211	0.272562202
212	0.2724692243
213	0.2722233618
214	0.272117766
215	0.2720514962
216	0.2719271173
217	0.2718157871
218	0.2717372612
219	0.2716383254
220	0.2715296227
221	0.2713824349
222	0.2713084806
223	0.2711662078
224	0.2709842088
225	0.2707315502
226	0.27054108
227	0.2704045067
228	0.2702915619
229	0.2702048021
230	0.2700822826
231	0.269994488
232	0.2696511803
233	0.26954099
234	0.2695116121
235	0.2694569628
236	0.2693334279
237	0.2692501263
238	0.2691991897
239	0.2691380213
240	0.269115729
241	0.269073647
242	0.2689988272
243	0.2689262619
244	0.2688922293
245	0.2688158398
246	0.2687896808
247	0.2686984345
248	0.2682878473
249	0.2682465127
250	0.2681630659
251	0.2680686431
252	0.2679590146
253	0.2679309721
254	0.2678597252
255	0.2677722226
256	0.2676968524
257	0.267600278
258	0.2675683302
259	0.2672588354
260	0.2671475778
261	0.2670584334
262	0.2669883178
263	0.2669173473
264	0.2668133258
265	0.2666945917
266	0.2665256721
267	0.2664244961
268	0.2663446608
269	0.2663175158
270	0.2662917301
271	0.2661730762
272	0.2661078812
273	0.2660015098
274	0.2659435018
275	0.2658754749
276	0.2657443316
277	0.265696372
278	0.2656688211
279	0.2655720925
280	0.265521317
281	0.2654466355
282	0.2653679571
283	0.2651999033
284	0.2651382243
285	0.2650415344
286	0.2649879434
287	0.2649246505
288	0.2648375451
289	0.2647903353
290	0.2647014912
291	0.2644950477
292	0.264458192
293	0.264443108
294	0.2644329735
295	0.2643361818
296	0.2639465385
297	0.2638999794
298	0.2637811318
299	0.2636773296
300	0.2636078254
301	0.2634964701
302	0.2634257248
303	0.2633238994
304	0.2632803408
305	0.2632134553
306	0.2631612129
307	0.2631246639
308	0.263105686
309	0.2630667853
310	0.2630188102
311	0.2629590255
312	0.26291862
313	0.2628255844
314	0.262747261
315	0.2626863895
316	0.262611562
317	0.2625480114
318	0.2624547986
319	0.2624187706
320	0.2623665235
321	0.2623065199
322	0.2622470903
323	0.2622274662
324	0.2621913347
325	0.2621109843
326	0.2620840466
327	0.261972254
328	0.2618358389
329	0.2617985447
330	0.2617617843
331	0.2617227698
332	0.2616871794
333	0.2615910595
334	0.2615152271
335	0.2614931817
336	0.2614290303
337	0.2613594184
338	0.2613183858
339	0.2612830059
340	0.2612248834
341	0.2611910499
342	0.261119444
343	0.2610849549
344	0.2610578827
345	0.2610170067
346	0.2609546632
347	0.2608971558
348	0.2607212303
349	0.2605428533
350	0.2604610611
351	0.2604265637
352	0.2603220527
353	0.2602686499
354	0.2602004605
355	0.2601682016
356	0.2601297188
357	0.2600839083
358	0.2600417077
359	0.2599964497
360	0.2598846254
361	0.2598499942
362	0.2598077258
363	0.2597186849
364	0.2597078684
365	0.2596571431
366	0.2596125055
367	0.2595120233
368	0.2594754059
369	0.2594464759
370	0.2593947568
371	0.2593649439
372	0.2593175362
373	0.2592320325
374	0.2591040361
375	0.2590718291
376	0.2590311149
377	0.2589555087
378	0.2588573648
379	0.2588050798
380	0.2587607797
381	0.2586915335
382	0.2586036653
383	0.2585762314
384	0.2585316711
385	0.2584753995
386	0.2584304917
387	0.2583813914
388	0.2583161653
389	0.2582319143
390	0.2581961593
391	0.2581224665
392	0.2580220798
393	0.2579372479
394	0.2578735705
395	0.2578312357
396	0.2577940747
397	0.2577900012
398	0.2577333465
399	0.2577096567
400	0.2576525599
401	0.2575560013
402	0.2574977061
403	0.2574385337
404	0.2573709032
405	0.2572953745
406	0.2572082413
407	0.2571713595
408	0.2571109465
409	0.2570669133
410	0.2569965624
411	0.2569853033
412	0.2568954964
413	0.256859287
414	0.2568196559
415	0.2567464751
416	0.256734083
417	0.2566253626
418	0.2565738409
419	0.2564859922
420	0.2564297409
421	0.2563869768
422	0.2563264285
423	0.2562357597
424	0.256143114
425	0.2560895556
426	0.2560254628
427	0.2559758398
428	0.2559121745
429	0.2558881351
430	0.2558770182
431	0.2558250497
432	0.2558135318
433	0.255758712
434	0.2556930373
435	0.2556279536
436	0.2555712715
437	0.2555399558
438	0.2554951527
439	0.255461202
440	0.2554370947
441	0.2554244243
442	0.2553391889
443	0.2553095308
444	0.2552140173
445	0.2551805028
446	0.255148291
447	0.2551048471
448	0.2550889705
449	0.2550495473
450	0.2549980916
451	0.2549859105
452	0.2549539807
453	0.254890309
454	0.2548148808
455	0.2547813476
456	0.254736718
457	0.2546736631
458	0.2546048866
459	0.2545674307
460	0.2545193572
461	0.2544270303
462	0.2543938095
463	0.2543525938
464	0.2543018431
465	0.2542448038
466	0.2541787897
